Year,Month,Day,Hour,Minute,GHI
2018,2,5,17,30,396
2018,2,5,18,30,534
2018,2,5,19,30,614
2018,2,5,20,30,477
2018,2,5,21,30,421
2018,2,5,22,30,483
2018,2,5,23,30,338
2018,2,6,0,30,158
2018,2,6,1,30,10
2018,2,6,2,30,0
2018,2,6,3,30,0
2018,2,6,4,30,0
2018,2,6,5,30,0
2018,2,6,6,30,0
2018,2,6,7,30,0
2018,2,6,8,30,0
2018,2,6,9,30,0
2018,2,6,10,30,0
2018,2,6,11,30,0
2018,2,6,12,30,0
2018,2,6,13,30,0
2018,2,6,14,30,0
2018,2,6,15,30,55
2018,2,6,16,30,239
2018,2,6,17,30,421
2018,2,6,18,30,562
2018,2,6,19,30,645
2018,2,6,20,30,663
2018,2,6,21,30,615
2018,2,6,22,30,509
2018,2,6,23,30,353
2018,2,7,0,30,167
2018,2,7,1,30,11
2018,2,7,2,30,0
2018,2,7,3,30,0
2018,2,7,4,30,0
2018,2,7,5,30,0
2018,2,7,6,30,0
2018,2,7,7,30,0
2018,2,7,8,30,0
2018,2,7,9,30,0
2018,2,7,10,30,0
2018,2,7,11,30,0
2018,2,7,12,30,0
2018,2,7,13,30,0
2018,2,7,14,30,0
2018,2,7,15,30,53
2018,2,7,16,30,230
2018,2,7,17,30,407
2018,2,7,18,30,545
2018,2,7,19,30,629
2018,2,7,20,30,648
2018,2,7,21,30,601
2018,2,7,22,30,497
2018,2,7,23,30,344
2018,2,8,0,30,162
2018,2,8,1,30,11
2018,2,8,2,30,0
2018,2,8,3,30,0
2018,2,8,4,30,0
2018,2,8,5,30,0
2018,2,8,6,30,0
2018,2,8,7,30,0
2018,2,8,8,30,0
2018,2,8,9,30,0
2018,2,8,10,30,0
2018,2,8,11,30,0
2018,2,8,12,30,0
2018,2,8,13,30,0
2018,2,8,14,30,0
2018,2,8,15,30,55
2018,2,8,16,30,235
2018,2,8,17,30,414
2018,2,8,18,30,554
2018,2,8,19,30,639
2018,2,8,20,30,661
2018,2,8,21,30,617
2018,2,8,22,30,513
2018,2,8,23,30,358
2018,2,9,0,30,173
2018,2,9,1,30,13
2018,2,9,2,30,0
2018,2,9,3,30,0
2018,2,9,4,30,0
2018,2,9,5,30,0
2018,2,9,6,30,0
2018,2,9,7,30,0
2018,2,9,8,30,0
2018,2,9,9,30,0
2018,2,9,10,30,0
2018,2,9,11,30,0
2018,2,9,12,30,0
2018,2,9,13,30,0
2018,2,9,14,30,0
2018,2,9,15,30,61
2018,2,9,16,30,244
2018,2,9,17,30,424
2018,2,9,18,30,564
2018,2,9,19,30,648
2018,2,9,20,30,668
2018,2,9,21,30,623
2018,2,9,22,30,506
2018,2,9,23,30,316
2018,2,10,0,30,130
2018,2,10,1,30,9
2018,2,10,2,30,0
2018,2,10,3,30,0
2018,2,10,4,30,0
2018,2,10,5,30,0
2018,2,10,6,30,0
2018,2,10,7,30,0
2018,2,10,8,30,0
2018,2,10,9,30,0
2018,2,10,10,30,0
2018,2,10,11,30,0
2018,2,10,12,30,0
2018,2,10,13,30,0
2018,2,10,14,30,0
2018,2,10,15,30,40
2018,2,10,16,30,244
2018,2,10,17,30,424
2018,2,10,18,30,564
2018,2,10,19,30,582
2018,2,10,20,30,575
2018,2,10,21,30,525
2018,2,10,22,30,413
2018,2,10,23,30,301
2018,2,11,0,30,187
2018,2,11,1,30,18
2018,2,11,2,30,0
2018,2,11,3,30,0
2018,2,11,4,30,0
2018,2,11,5,30,0
2018,2,11,6,30,0
2018,2,11,7,30,0
2018,2,11,8,30,0
2018,2,11,9,30,0
2018,2,11,10,30,0
2018,2,11,11,30,0
2018,2,11,12,30,0
2018,2,11,13,30,0
2018,2,11,14,30,0
2018,2,11,15,30,64
2018,2,11,16,30,249
2018,2,11,17,30,428
2018,2,11,18,30,459
2018,2,11,19,30,460
2018,2,11,20,30,175
2018,2,11,21,30,410
2018,2,11,22,30,232
2018,2,11,23,30,271
2018,2,12,0,30,176
2018,2,12,1,30,17
2018,2,12,2,30,0
2018,2,12,3,30,0
2018,2,12,4,30,0
2018,2,12,5,30,0
2018,2,12,6,30,0
2018,2,12,7,30,0
2018,2,12,8,30,0
2018,2,12,9,30,0
2018,2,12,10,30,0
2018,2,12,11,30,0
2018,2,12,12,30,0
2018,2,12,13,30,0
2018,2,12,14,30,0
2018,2,12,15,30,29
2018,2,12,16,30,108
2018,2,12,17,30,386
2018,2,12,18,30,497
2018,2,12,19,30,663
2018,2,12,20,30,684
2018,2,12,21,30,638
2018,2,12,22,30,532
2018,2,12,23,30,376
2018,2,13,0,30,186
2018,2,13,1,30,19
2018,2,13,2,30,0
2018,2,13,3,30,0
2018,2,13,4,30,0
2018,2,13,5,30,0
2018,2,13,6,30,0
2018,2,13,7,30,0
2018,2,13,8,30,0
2018,2,13,9,30,0
2018,2,13,10,30,0
2018,2,13,11,30,0
2018,2,13,12,30,0
2018,2,13,13,30,0
2018,2,13,14,30,0
2018,2,13,15,30,71
2018,2,13,16,30,260
2018,2,13,17,30,443
2018,2,13,18,30,586
2018,2,13,19,30,671
2018,2,13,20,30,693
2018,2,13,21,30,648
2018,2,13,22,30,543
2018,2,13,23,30,384
2018,2,14,0,30,194
2018,2,14,1,30,23
2018,2,14,2,30,0
2018,2,14,3,30,0
2018,2,14,4,30,0
2018,2,14,5,30,0
2018,2,14,6,30,0
2018,2,14,7,30,0
2018,2,14,8,30,0
2018,2,14,9,30,0
2018,2,14,10,30,0
2018,2,14,11,30,0
